Batch_ID,Horizon_h,Observed_Rows,OOD_Score,Training_95pct_Threshold,OOD_Excess_Above_Threshold,OOD_Flag,Set,Regime
1,12,60,0.473306271419015,0.5162548053476638,-0.04294853392864878,False,Normal model-development,Recipe_Normal
2,12,60,0.4465805047615298,0.5162548053476638,-0.069674300586134,False,Normal test,Recipe_Normal
3,12,60,0.5021690829038475,0.5162548053476638,-0.014085722443816229,False,Normal model-development,Recipe_Normal
4,12,60,0.5158490743117897,0.5162548053476638,-0.00040573103587404624,False,Normal model-development,Recipe_Normal
5,12,60,0.45844014409713874,0.5162548053476638,-0.057814661250525035,False,Normal test,Recipe_Normal
6,12,60,0.41385284519894006,0.5162548053476638,-0.10240196014872371,False,Normal model-development,Recipe_Normal
7,12,60,0.45249741651894426,0.5162548053476638,-0.06375738882871951,False,Normal model-development,Recipe_Normal
8,12,60,0.4801740460870465,0.5162548053476638,-0.03608075926061727,False,Normal model-development,Recipe_Normal
9,12,60,0.4712059444970356,0.5162548053476638,-0.04504886085062815,False,Normal test,Recipe_Normal
10,12,60,0.45894910035427366,0.5162548053476638,-0.057305704993390105,False,Normal model-development,Recipe_Normal
11,12,60,0.46180729432079665,0.5162548053476638,-0.054447511026867124,False,Normal model-development,Recipe_Normal
12,12,60,0.4768007488149359,0.5162548053476638,-0.03945405653272788,False,Normal model-development,Recipe_Normal
13,12,60,0.399652184612517,0.5162548053476638,-0.11660262073514677,False,Normal model-development,Recipe_Normal
14,12,60,0.4253323701422177,0.5162548053476638,-0.09092243520544607,False,Normal test,Recipe_Normal
15,12,60,0.4260954118654938,0.5162548053476638,-0.09015939348216995,False,Normal model-development,Recipe_Normal
16,12,60,0.46988385657964876,0.5162548053476638,-0.04637094876801501,False,Normal model-development,Recipe_Normal
17,12,60,0.41589471577550696,0.5162548053476638,-0.10036008957215681,False,Normal model-development,Recipe_Normal
18,12,60,0.41747829657687757,0.5162548053476638,-0.0987765087707862,False,Normal model-development,Recipe_Normal
19,12,60,0.4574924045170759,0.5162548053476638,-0.05876240083058787,False,Normal model-development,Recipe_Normal
20,12,60,0.4074843475651254,0.5162548053476638,-0.10877045778253835,False,Normal model-development,Recipe_Normal
21,12,60,0.5452217265669977,0.5162548053476638,0.028966921219333974,True,Normal model-development,Recipe_Normal
22,12,60,0.4178762252998726,0.5162548053476638,-0.09837858004779115,False,Normal model-development,Recipe_Normal
23,12,60,0.39054122181378215,0.5162548053476638,-0.12571358353388162,False,Normal model-development,Recipe_Normal
24,12,60,0.4596749389670409,0.5162548053476638,-0.056579866380622845,False,Normal model-development,Recipe_Normal
25,12,60,0.4650700535870781,0.5162548053476638,-0.05118475176058568,False,Normal model-development,Recipe_Normal
26,12,60,0.42886230781401663,0.5162548053476638,-0.08739249753364714,False,Normal model-development,Recipe_Normal
27,12,60,0.45094861687820875,0.5162548053476638,-0.06530618846945502,False,Normal model-development,Recipe_Normal
28,12,60,0.46337382840609864,0.5162548053476638,-0.05288097694156513,False,Normal test,Recipe_Normal
29,12,60,0.43087431236260143,0.5162548053476638,-0.08538049298506234,False,Normal model-development,Recipe_Normal
30,12,60,0.42580337430135917,0.5162548053476638,-0.0904514310463046,False,Normal model-development,Recipe_Normal
31,12,60,0.42193154751178713,0.5162548053476638,-0.09432325783587664,False,Normal model-development,Operator_Normal
32,12,60,0.42779723952730603,0.5162548053476638,-0.08845756582035774,False,Normal model-development,Operator_Normal
33,12,60,0.4076633928967047,0.5162548053476638,-0.10859141245095905,False,Normal model-development,Operator_Normal
34,12,60,0.4455696559721903,0.5162548053476638,-0.07068514937547349,False,Normal test,Operator_Normal
35,12,60,0.45104755640512695,0.5162548053476638,-0.06520724894253682,False,Normal model-development,Operator_Normal
36,12,60,0.5162548053476638,0.5162548053476638,0.0,False,Normal model-development,Operator_Normal
37,12,60,0.46871973567832115,0.5162548053476638,-0.04753506966934262,False,Normal model-development,Operator_Normal
38,12,60,0.45381734949898467,0.5162548053476638,-0.0624374558486791,False,Normal model-development,Operator_Normal
39,12,60,0.42478307855422087,0.5162548053476638,-0.0914717267934429,False,Normal model-development,Operator_Normal
40,12,60,0.44070881443626286,0.5162548053476638,-0.0755459909114009,False,Normal model-development,Operator_Normal
41,12,60,0.41070643551895336,0.5162548053476638,-0.10554836982871041,False,Normal model-development,Operator_Normal
42,12,60,0.42467283020654156,0.5162548053476638,-0.09158197514112221,False,Normal model-development,Operator_Normal
43,12,60,0.49703137489360466,0.5162548053476638,-0.01922343045405911,False,Normal model-development,Operator_Normal
44,12,60,0.5213343719011361,0.5162548053476638,0.005079566553472303,True,Normal model-development,Operator_Normal
45,12,60,0.42307435409445293,0.5162548053476638,-0.09318045125321084,False,Normal test,Operator_Normal
46,12,60,0.47573519700177813,0.5162548053476638,-0.04051960834588564,False,Normal test,Operator_Normal
47,12,60,0.40091046730810975,0.5162548053476638,-0.11534433803955402,False,Normal test,Operator_Normal
48,12,60,0.5196449072949214,0.5162548053476638,0.00339010194725764,True,Normal model-development,Operator_Normal
49,12,60,0.43264786952518475,0.5162548053476638,-0.08360693582247902,False,Normal model-development,Operator_Normal
50,12,60,0.42930745386710595,0.5162548053476638,-0.08694735148055782,False,Normal model-development,Operator_Normal
51,12,60,0.49035897279482427,0.5162548053476638,-0.025895832552839504,False,Normal model-development,Operator_Normal
52,12,60,0.46260541355859747,0.5162548053476638,-0.0536493917890663,False,Normal model-development,Operator_Normal
53,12,60,0.44178284233824877,0.5162548053476638,-0.074471963009415,False,Normal model-development,Operator_Normal
54,12,60,0.43985608376214413,0.5162548053476638,-0.07639872158551964,False,Normal model-development,Operator_Normal
55,12,60,0.4840736907941034,0.5162548053476638,-0.032181114553560375,False,Normal model-development,Operator_Normal
56,12,60,0.44505848900740685,0.5162548053476638,-0.07119631634025692,False,Normal model-development,Operator_Normal
57,12,60,0.46358926069566786,0.5162548053476638,-0.05266554465199591,False,Normal model-development,Operator_Normal
